bbdm13_GlimmerMDS_2Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes,well-separated,Shape
figure_category_basedmarkersize20_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,20,0.086755355,1.033695936,0.079602484,0.970551491,0.040431814,3.303276539,0.093659987,1.009224176,0.086349927,0.833956957,0.061954381,0.902659655,0.164092584,1.197645426,0.243255318,0.946143627,0.5361546,1.18840909,-,15,0.089014851,1.342241287,0.10809474,1.353130102,0.105922003,0.606898308,13705,0.453841686,0.093163216,0.427690029,0.02552003,1.391064644,1.26840599,0.035476208,-,15,90,2747,"[{'category': 1, 'number': 1}, {'category': 2, 'number': 8}, {'category': 3, 'number': 27}, {'category': 4, 'number': 61}, {'category': 5, 'number': 205}, {'category': 6, 'number': 318}, {'category': 7, 'number': 507}, {'category': 8, 'number': 593}, {'category': 9, 'number': 508}, {'category': 10, 'number': 271}, {'category': 11, 'number': 139}, {'category': 12, 'number': 66}, {'category': 13, 'number': 25}, {'category': 14, 'number': 11}, {'category': 15, 'number': 4}, {'category': 16, 'number': 3}]",no,['three_order']
figure_ascendingmarkersize10_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,10,0.129482304,0.631238222,0.088737579,0.958119631,0.038117089,2.961296082,0.130058896,1.071621656,0.101117203,0.924008131,0.077158678,1.00782156,0.172140317,0.905459642,0.171915856,0.916247845,0.492356272,0.970149994,-,15,0.119421705,1.136823177,0.12852302,0.89827323,0.186326432,0.694466352,9655,0.428209782,0.093163216,0.458820581,0.02552003,1.353786945,1.26840599,0.030780554,-,15,130,2094,"[{'category': 11, 'number': 145}, {'category': 7, 'number': 350}, {'category': 8, 'number': 324}, {'category': 9, 'number': 361}, {'category': 10, 'number': 156}, {'category': 6, 'number': 230}, {'category': 5, 'number': 157}, {'category': 16, 'number': 23}, {'category': 4, 'number': 52}, {'category': 12, 'number': 105}, {'category': 17, 'number': 13}, {'category': 13, 'number': 60}, {'category': 3, 'number': 10}, {'category': 14, 'number': 48}, {'category': 18, 'number': 12}, {'category': 15, 'number': 29}, {'category': 19, 'number': 10}, {'category': 22, 'number': 5}, {'category': 20, 'number': 4}]",no,['three_order']
figure_category_basedmarkersize50_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,50,0.080262124,1.03831625,0.078702271,0.96339345,0.030938612,3.588411808,0.085284729,1.03505826,0.080561266,0.965446234,0.058570671,0.944785833,0.163548664,1.289052963,0.291052069,1.05782032,0.546061267,0.968664646,-,15,0.077963855,1.213233948,0.102511765,1.412544012,0.063071738,0.615658045,18365,0.402729034,0.093163216,0.345698118,0.02552003,1.034885645,1.26840599,0.028663158,-,15,48,3182,"[{'category': 1, 'number': 1}, {'category': 2, 'number': 9}, {'category': 3, 'number': 42}, {'category': 4, 'number': 75}, {'category': 5, 'number': 217}, {'category': 6, 'number': 332}, {'category': 7, 'number': 525}, {'category': 8, 'number': 624}, {'category': 9, 'number': 554}, {'category': 10, 'number': 366}, {'category': 11, 'number': 187}, {'category': 12, 'number': 123}, {'category': 13, 'number': 66}, {'category': 14, 'number': 32}, {'category': 15, 'number': 19}, {'category': 16, 'number': 10}]",no,['three_order']
figure_ascendingmarkersize20_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,20,0.117480788,1.184454679,0.086434629,0.921365976,0.025970187,3.120467663,0.112217333,1.073686838,0.092444974,1.215555668,0.071012995,1.031398535,0.162094605,1.254081249,0.146312371,0.951989174,0.430934644,0.942820549,-,15,0.108079682,1.391065121,0.118582214,1.303558588,0.105922003,0.54865694,13705,0.52658391,0.093163216,0.777407169,0.02552003,1.243367195,1.26840599,0.031028032,-,15,75,2568,"[{'category': 11, 'number': 204}, {'category': 7, 'number': 390}, {'category': 8, 'number': 368}, {'category': 9, 'number': 418}, {'category': 10, 'number': 240}, {'category': 6, 'number': 267}, {'category': 5, 'number': 180}, {'category': 16, 'number': 34}, {'category': 4, 'number': 56}, {'category': 12, 'number': 141}, {'category': 17, 'number': 21}, {'category': 13, 'number': 88}, {'category': 3, 'number': 22}, {'category': 14, 'number': 60}, {'category': 18, 'number': 16}, {'category': 15, 'number': 36}, {'category': 19, 'number': 13}, {'category': 22, 'number': 7}, {'category': 20, 'number': 6}, {'category': 21, 'number': 1}]",no,['three_order']
figure_category_basedmarkersize10_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,10,0.095647458,1.225546598,0.083468145,0.77277565,0.049864639,2.691269159,0.104492142,0.769245625,0.094402718,0.795330048,0.066164761,0.832223892,0.171063413,1.098469496,0.25067014,0.97277379,0.561258336,0.882536173,-,15,0.102863788,1.196327686,0.114834815,1.152623892,0.186326432,0.426746368,9655,0.344831944,0.093163216,0.420347929,0.02552003,1.10857749,1.26840599,0.032107353,-,15,148,2096,"[{'category': 2, 'number': 5}, {'category': 3, 'number': 15}, {'category': 4, 'number': 52}, {'category': 5, 'number': 181}, {'category': 6, 'number': 270}, {'category': 7, 'number': 456}, {'category': 8, 'number': 507}, {'category': 9, 'number': 365}, {'category': 10, 'number': 143}, {'category': 11, 'number': 60}, {'category': 12, 'number': 25}, {'category': 13, 'number': 9}, {'category': 14, 'number': 3}, {'category': 15, 'number': 3}, {'category': 16, 'number': 2}]",no,['three_order']
figure_descendingmarkersize50_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,50,0.057907775,0.896341562,0.070167134,0.894528627,0.066814216,2.641844034,0.058196435,0.829282522,0.063321111,0.825389624,0.066741944,0.847818136,0.1554548,0.938694239,0.200340051,1.070534468,0.403141609,0.839926243,-,15,0.069220431,0.980422497,0.059569774,0.997471809,0.063071738,0.454969645,18365,0.463647127,0.093163216,0.160449982,0.02552003,0.953707457,1.26840599,0.027800322,-,15,22,2257,"[{'category': 6, 'number': 213}, {'category': 5, 'number': 100}, {'category': 8, 'number': 441}, {'category': 12, 'number': 119}, {'category': 15, 'number': 24}, {'category': 17, 'number': 21}, {'category': 7, 'number': 266}, {'category': 9, 'number': 436}, {'category': 10, 'number': 257}, {'category': 4, 'number': 25}, {'category': 3, 'number': 9}, {'category': 14, 'number': 71}, {'category': 2, 'number': 4}, {'category': 16, 'number': 25}, {'category': 11, 'number': 135}, {'category': 13, 'number': 75}, {'category': 18, 'number': 18}, {'category': 19, 'number': 8}, {'category': 20, 'number': 4}, {'category': 21, 'number': 2}, {'category': 22, 'number': 4}]",no,['three_order']
figure_ascendingmarkersize50_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,50,0.110231072,1.159125328,0.087966693,1.228874445,0.013165346,3.410351753,0.099697373,0.783742666,0.085732687,0.781801462,0.065437896,0.93563509,0.160555636,0.863720417,0.138324266,1.264568806,0.405577768,0.772652626,-,15,0.099632348,0.90741992,0.112738515,1.128446341,0.063071738,0.426086187,18365,0.43079114,0.093163216,0.365247488,0.02552003,0.932147026,1.26840599,0.030086517,-,15,45,2853,"[{'category': 11, 'number': 229}, {'category': 7, 'number': 419}, {'category': 8, 'number': 377}, {'category': 9, 'number': 480}, {'category': 10, 'number': 297}, {'category': 6, 'number': 257}, {'category': 5, 'number': 196}, {'category': 16, 'number': 38}, {'category': 4, 'number': 69}, {'category': 12, 'number': 153}, {'category': 17, 'number': 26}, {'category': 13, 'number': 98}, {'category': 3, 'number': 32}, {'category': 14, 'number': 75}, {'category': 18, 'number': 20}, {'category': 15, 'number': 41}, {'category': 19, 'number': 18}, {'category': 22, 'number': 8}, {'category': 20, 'number': 8}, {'category': 2, 'number': 8}, {'category': 23, 'number': 1}, {'category': 21, 'number': 3}]",no,['three_order']
figure_descendingmarkersize20_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,20,0.062787084,0.569087029,0.073338887,1.128707886,0.069414189,2.881258488,0.061189937,0.796962738,0.066852624,1.038412333,0.069729499,0.735948086,0.158105881,0.825913906,0.178067588,0.921938181,0.402628458,0.733859539,-,15,0.080682249,0.883871317,0.073374987,1.157010317,0.105922003,0.45795989,13705,0.43817687,0.093163216,0.37633419,0.02552003,0.937878609,1.26840599,0.02734375,-,15,40,2124,"[{'category': 6, 'number': 210}, {'category': 5, 'number': 98}, {'category': 15, 'number': 24}, {'category': 7, 'number': 266}, {'category': 10, 'number': 248}, {'category': 8, 'number': 433}, {'category': 4, 'number': 25}, {'category': 3, 'number': 8}, {'category': 9, 'number': 410}, {'category': 12, 'number': 101}, {'category': 14, 'number': 60}, {'category': 17, 'number': 15}, {'category': 2, 'number': 4}, {'category': 16, 'number': 21}, {'category': 11, 'number': 114}, {'category': 13, 'number': 55}, {'category': 18, 'number': 16}, {'category': 19, 'number': 7}, {'category': 20, 'number': 4}, {'category': 21, 'number': 2}, {'category': 22, 'number': 3}]",no,['three_order']
figure_descendingmarkersize10_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,10,0.069041794,0.945776701,0.078992174,0.72217226,0.074758812,2.826306581,0.064965092,0.70236063,0.071784362,0.681117058,0.073059049,0.897879839,0.167483218,0.788952351,0.168801805,0.65784502,0.438782805,0.700790405,-,15,0.095309528,0.84218502,0.089860673,0.832900763,0.186326432,0.398061037,9655,0.38562417,0.093163216,0.589311838,0.02552003,0.949660301,1.26840599,0.029024601,-,15,77,1824,"[{'category': 6, 'number': 186}, {'category': 5, 'number': 77}, {'category': 8, 'number': 369}, {'category': 4, 'number': 23}, {'category': 3, 'number': 8}, {'category': 9, 'number': 316}, {'category': 10, 'number': 221}, {'category': 7, 'number': 252}, {'category': 12, 'number': 84}, {'category': 14, 'number': 51}, {'category': 16, 'number': 21}, {'category': 11, 'number': 103}, {'category': 13, 'number': 49}, {'category': 18, 'number': 15}, {'category': 15, 'number': 22}, {'category': 19, 'number': 7}, {'category': 20, 'number': 4}, {'category': 17, 'number': 11}, {'category': 21, 'number': 2}, {'category': 22, 'number': 2}, {'category': 2, 'number': 1}]",no,['three_order']
figure_descendingmarkersize20_bbdm13_GlimmerMDS_2,bbdm13_GlimmerMDS_2,200,5,20,0.793814776,0.637666464,0.787508904,0.705382109,0.790476357,1.15245533,0.817983106,0.667495251,0.805968373,0.304139376,0.815434455,0.306959152,0.957559832,0.655473471,0.653959128,0.665619612,0.829300629,0.664729357,0.902804672,1.519445419,0.908946107,0.677876711,0.889947448,0.673865557,1,0.484635592,125,0.094340563,0,0.456809521,0.025242351,0.024984837,19.61645754,0.002890825,0.00934033,2.530140162,0,0,[],no,['cluster']
