Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes,well-separated,Shape
figure_category_basedmarkersize10_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,10,0.0516134810247552,1.3126466274261477,0.04960231229331,1.208505392074585,0.0390679414415213,2.5332255363464355,0.0624136683792503,0.7689249515533447,0.0588700245887894,0.6836390495300293,0.0429798877791306,0.681938648223877,0.0508300746634907,0.8314881324768066,0.1514183937041137,0.7407052516937256,0.1096731151601968,0.7224841117858887,-,15.0,0.047383368794778,0.9139518737792968,0.0568867565552452,0.8473892211914062,0.1863264323543572,0.3757691383361816,9655,0.2676026821136474,0.0931632161771786,0.3343160152435303,0.0255200302893604,0.979494571685791,1.2684059900588696,0.0277104377746582,-,15.0,148,2096,"[{'category': 2, 'number': 5}, {'category': 3, 'number': 15}, {'category': 4, 'number': 52}, {'category': 5, 'number': 181}, {'category': 6, 'number': 270}, {'category': 7, 'number': 456}, {'category': 8, 'number': 507}, {'category': 9, 'number': 365}, {'category': 10, 'number': 143}, {'category': 11, 'number': 60}, {'category': 12, 'number': 25}, {'category': 13, 'number': 9}, {'category': 14, 'number': 3}, {'category': 15, 'number': 3}, {'category': 16, 'number': 2}]",no,['cluster']
figure_category_basedmarkersize20_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,20,0.0504685861566827,0.7919800281524658,0.0499288064263323,0.7859065532684326,0.0353714446845668,2.833640813827514,0.0603339801767325,0.8619933128356934,0.0574106778142282,0.7363162040710449,0.0426355605801688,0.7435998916625977,0.052275280577808,0.9536974430084229,0.1688969081174616,0.728795051574707,0.1238534231268962,0.8472886085510254,0.04986208525284097,15.157068967819214,0.0466859189579142,0.9393367767333984,0.0642845352607244,0.8892743587493896,0.1059220028887819,0.4352242946624756,13705,0.3036160469055176,0.0931632161771786,0.2663707733154297,0.0255200302893604,0.9397082328796388,1.2684059900588696,0.0280046463012695,-,15.0,90,2747,"[{'category': 1, 'number': 1}, {'category': 2, 'number': 8}, {'category': 3, 'number': 27}, {'category': 4, 'number': 61}, {'category': 5, 'number': 205}, {'category': 6, 'number': 318}, {'category': 7, 'number': 507}, {'category': 8, 'number': 593}, {'category': 9, 'number': 508}, {'category': 10, 'number': 271}, {'category': 11, 'number': 139}, {'category': 12, 'number': 66}, {'category': 13, 'number': 25}, {'category': 14, 'number': 11}, {'category': 15, 'number': 4}, {'category': 16, 'number': 3}]",no,['cluster']
figure_category_basedmarkersize50_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,50,0.0494421793888705,0.931424617767334,0.0504993448352077,0.8888113498687744,0.0303998284892682,2.952237844467163,0.0582542780639745,0.8849937915802002,0.0564048486855286,0.8343405723571777,0.0423034972506697,0.8437168598175049,0.0532301541127796,0.8034763336181641,0.2230099513086623,0.8242337703704834,0.1424319406329035,0.969290256500244,-,15.0,0.0475391582584017,1.108649969100952,0.0739728100773094,0.9025299549102784,0.0630717380837746,0.4842188358306885,18365,0.3558802604675293,0.0931632161771786,0.2970869541168213,0.0255200302893604,0.9414544105529784,1.2684059900588696,0.0302100181579589,-,15.0,48,3182,"[{'category': 1, 'number': 1}, {'category': 2, 'number': 9}, {'category': 3, 'number': 42}, {'category': 4, 'number': 75}, {'category': 5, 'number': 217}, {'category': 6, 'number': 332}, {'category': 7, 'number': 525}, {'category': 8, 'number': 624}, {'category': 9, 'number': 554}, {'category': 10, 'number': 366}, {'category': 11, 'number': 187}, {'category': 12, 'number': 123}, {'category': 13, 'number': 66}, {'category': 14, 'number': 32}, {'category': 15, 'number': 19}, {'category': 16, 'number': 10}]",no,['cluster']
figure_ascendingmarkersize10_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,10,0.0807561589930785,1.1783545017242432,0.0542205132485366,0.8182544708251953,0.0280140057767107,2.5845165252685547,0.0850084713734794,0.6800308227539062,0.0649206322171308,0.760728120803833,0.0535279093133533,0.9448812007904052,0.0519691828323441,0.902940034866333,0.0841362557714349,0.614051103591919,0.085072479323486,0.7705657482147217,-,15.0,0.0580483791699154,0.7710962295532227,0.0649432421233605,0.9018828868865968,0.1863264323543572,0.4868900775909424,9655,0.3242454528808594,0.0931632161771786,0.3036704063415527,0.0255200302893604,0.9466559886932372,1.2684059900588696,0.0280680656433105,-,15.0,130,2094,"[{'category': 11, 'number': 145}, {'category': 7, 'number': 350}, {'category': 8, 'number': 324}, {'category': 9, 'number': 361}, {'category': 10, 'number': 156}, {'category': 6, 'number': 230}, {'category': 5, 'number': 157}, {'category': 16, 'number': 23}, {'category': 4, 'number': 52}, {'category': 12, 'number': 105}, {'category': 17, 'number': 13}, {'category': 13, 'number': 60}, {'category': 3, 'number': 10}, {'category': 14, 'number': 48}, {'category': 18, 'number': 12}, {'category': 15, 'number': 29}, {'category': 19, 'number': 10}, {'category': 22, 'number': 5}, {'category': 20, 'number': 4}]",no,['cluster']
figure_ascendingmarkersize20_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,20,0.078628052561965,0.8635990619659424,0.0562518870668391,0.8874049186706543,0.021307788367616,2.851797580718994,0.0780088528894522,0.8387513160705566,0.0633610868054933,0.6655545234680176,0.051865674084816,0.8270928859710693,0.0517937459727533,0.9317219257354736,0.0805037652022687,0.681776762008667,0.075621911430825,0.8365476131439209,-,15.0,0.0594003250847916,0.9943070411682128,0.0692307420643777,0.9929165840148926,0.1059220028887819,0.3626294136047363,13705,0.3546717166900635,0.0931632161771786,0.3218910694122314,0.0255200302893604,0.9387352466583252,1.2684059900588696,0.0280585289001464,-,15.0,75,2568,"[{'category': 11, 'number': 204}, {'category': 7, 'number': 390}, {'category': 8, 'number': 368}, {'category': 9, 'number': 418}, {'category': 10, 'number': 240}, {'category': 6, 'number': 267}, {'category': 5, 'number': 180}, {'category': 16, 'number': 34}, {'category': 4, 'number': 56}, {'category': 12, 'number': 141}, {'category': 17, 'number': 21}, {'category': 13, 'number': 88}, {'category': 3, 'number': 22}, {'category': 14, 'number': 60}, {'category': 18, 'number': 16}, {'category': 15, 'number': 36}, {'category': 19, 'number': 13}, {'category': 22, 'number': 7}, {'category': 20, 'number': 6}, {'category': 21, 'number': 1}]",no,['cluster']
figure_ascendingmarkersize50_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,50,0.0778959288980126,0.8398094177246094,0.059352788002029,0.818387508392334,0.0126629876574106,3.0054872035980225,0.0726279021249662,0.9462161064147948,0.0617408756848983,0.7691679000854492,0.0495562624325512,0.9395925998687744,0.0522857686962805,0.8544881343841553,0.0809992075736462,0.7663912773132324,0.0675670741822517,0.9910109043121338,-,15.0,0.0610561421590428,0.9266929626464844,0.075537818639075,1.0956275463104248,0.0630717380837746,0.4010002613067627,18365,0.3947014808654785,0.0931632161771786,0.3390130996704101,0.0255200302893604,0.9386539459228516,1.2684059900588696,0.0291023254394531,-,15.0,45,2853,"[{'category': 11, 'number': 229}, {'category': 7, 'number': 419}, {'category': 8, 'number': 377}, {'category': 9, 'number': 480}, {'category': 10, 'number': 297}, {'category': 6, 'number': 257}, {'category': 5, 'number': 196}, {'category': 16, 'number': 38}, {'category': 4, 'number': 69}, {'category': 12, 'number': 153}, {'category': 17, 'number': 26}, {'category': 13, 'number': 98}, {'category': 3, 'number': 32}, {'category': 14, 'number': 75}, {'category': 18, 'number': 20}, {'category': 15, 'number': 41}, {'category': 19, 'number': 18}, {'category': 22, 'number': 8}, {'category': 20, 'number': 8}, {'category': 2, 'number': 8}, {'category': 23, 'number': 1}, {'category': 21, 'number': 3}]",no,['cluster']
figure_descendingmarkersize10_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,10,0.0288312440216285,0.7376537322998047,0.0458340500580021,0.9054195880889891,0.0631851664719324,2.512105226516724,0.0277256734304668,1.1578240394592283,0.0388065622406367,0.7011075019836426,0.0497619243312058,0.6625311374664307,0.0487634071577626,1.0212390422821045,0.0732951800543546,0.6611955165863037,0.0387344713567177,0.6741056442260742,-,15.0,0.0408730171799903,0.8483898639678955,0.0371082253798161,0.879035472869873,0.1863264323543572,0.6138482093811035,9655,0.1706030368804931,0.0931632161771786,0.3739488124847412,0.0255200302893604,1.2696304321289062,1.2684059900588696,0.0287446975708007,-,15.0,77,1824,"[{'category': 6, 'number': 186}, {'category': 5, 'number': 77}, {'category': 8, 'number': 369}, {'category': 4, 'number': 23}, {'category': 3, 'number': 8}, {'category': 9, 'number': 316}, {'category': 10, 'number': 221}, {'category': 7, 'number': 252}, {'category': 12, 'number': 84}, {'category': 14, 'number': 51}, {'category': 16, 'number': 21}, {'category': 11, 'number': 103}, {'category': 13, 'number': 49}, {'category': 18, 'number': 15}, {'category': 15, 'number': 22}, {'category': 19, 'number': 7}, {'category': 20, 'number': 4}, {'category': 17, 'number': 11}, {'category': 21, 'number': 2}, {'category': 22, 'number': 2}, {'category': 2, 'number': 1}]",no,['cluster']
figure_descendingmarkersize20_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,20,0.029027535174579,0.8107795715332031,0.044479440352798,1.0210793018341064,0.0641302822548193,3.064772367477417,0.0304261374345232,0.735023021697998,0.0394213609850224,1.0047242641448977,0.0504260035508342,0.7570855617523193,0.0483685256030101,0.90484881401062,0.0991862405231254,0.7540771961212158,0.041168336240278,1.0260515213012695,-,15.0,0.0386916678567246,0.9115002155303956,0.0342092677932389,1.194615602493286,0.1059220028887819,0.4556527137756347,13705,0.1914446353912353,0.0931632161771786,0.3967413902282715,0.0255200302893604,0.9783477783203124,1.2684059900588696,0.0301210880279541,-,15.0,40,2124,"[{'category': 6, 'number': 210}, {'category': 5, 'number': 98}, {'category': 15, 'number': 24}, {'category': 7, 'number': 266}, {'category': 10, 'number': 248}, {'category': 8, 'number': 433}, {'category': 4, 'number': 25}, {'category': 3, 'number': 8}, {'category': 9, 'number': 410}, {'category': 12, 'number': 101}, {'category': 14, 'number': 60}, {'category': 17, 'number': 15}, {'category': 2, 'number': 4}, {'category': 16, 'number': 21}, {'category': 11, 'number': 114}, {'category': 13, 'number': 55}, {'category': 18, 'number': 16}, {'category': 19, 'number': 7}, {'category': 20, 'number': 4}, {'category': 21, 'number': 2}, {'category': 22, 'number': 3}]",no,['cluster']
figure_descendingmarkersize50_abalone_GlimmerMDS_2,abalone_GlimmerMDS_2,4154,28,50,0.0288473907133263,0.9027812480926514,0.0429101519275074,0.9241774082183838,0.0663084294137394,2.8322153091430664,0.0324201626924264,0.8228099346160889,0.0400074156437866,0.8515617847442627,0.0506013847196022,1.0501809120178225,0.0473780955429111,0.9882338047027588,0.1277345302843856,0.8232369422912598,0.0416531714248842,0.8663451671600342,-,15.0,0.037853391839147,1.042546272277832,0.0316469455796598,1.003408670425415,0.0630717380837746,0.4919581413269043,18365,0.4827163219451904,0.0931632161771786,0.4397094249725342,0.0255200302893604,0.9647927284240724,1.2684059900588696,0.0302040576934814,-,15.0,22,2257,"[{'category': 6, 'number': 213}, {'category': 5, 'number': 100}, {'category': 8, 'number': 441}, {'category': 12, 'number': 119}, {'category': 15, 'number': 24}, {'category': 17, 'number': 21}, {'category': 7, 'number': 266}, {'category': 9, 'number': 436}, {'category': 10, 'number': 257}, {'category': 4, 'number': 25}, {'category': 3, 'number': 9}, {'category': 14, 'number': 71}, {'category': 2, 'number': 4}, {'category': 16, 'number': 25}, {'category': 11, 'number': 135}, {'category': 13, 'number': 75}, {'category': 18, 'number': 18}, {'category': 19, 'number': 8}, {'category': 20, 'number': 4}, {'category': 21, 'number': 2}, {'category': 22, 'number': 4}]",no,['cluster']
figure_category_basedmarkersize10_bbdm13_GlimmerMDS_2,bbdm13_GlimmerMDS_2,200,5,10,0.0676669369791352,0.569439172744751,0.0481805546034279,0.622732400894165,0.0258304337267379,0.7965495586395264,0.0535612217715326,0.7430891990661621,0.0467379630972643,0.550123929977417,0.0388252430275176,0.5259919166564941,0.0476190476190475,0.5810916423797607,0.3619427028723537,0.5250508785247803,0.4546716315504017,0.5488269329071045,1.6548984405062583e-12,1.0523338317871094,9.992007221626409e-16,0.823246955871582,1.4432899320127037e-15,0.6409096717834473,1.0,0.3691334724426269,22,0.0975005626678466,0.0,0.3536422252655029,0.0252423510891002,0.0251021385192871,19.616457540003967,0.00227952003479,0.005877732444869138,2.6787359714508057,0,0,[],no,['cluster']
