dataset name,well-separated
bbdm13_TSNE_2.csv,no
boston_TSNE_2.csv,1-class-1-cluster
breast-cancer-wisconsin_TSNE_2.csv,no
cereal_TSNE_2.csv,no
fisheries_clusteredByEscapementTarget_TSNE_2.csv,1-class-m-cluster
fisheries_clusteredByHarvestRule_TSNE_2.csv,1-class-m-cluster
grid10_3d_TSNE_2.csv,1-class-m-cluster
grid6_3d_TSNE_2.csv,1-class-m-cluster
grid6_4d_TSNE_2.csv,1-class-m-cluster
hiv_TSNE_2.csv,no
interleaved_100_200_10d_0_notcramped_notrotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_10d_25_cramped_rotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_15d_0_notcramped_notrotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_15d_25_cramped_rotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_4d_0_notcramped_notrotated_TSNE_2.csv,1-class-m-cluster
interleaved_100_200_4d_25_cramped_rotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_5d_0_notcramped_notrotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_5d_25_cramped_rotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_200_6d_0_notcramped_notrotated_TSNE_2.csv,1-class-m-cluster
interleaved_100_200_6d_25_cramped_rotated_TSNE_2.csv,1-class-1-cluster
interleaved_100_500_3_25_cramped_rotated_TSNE_2.csv,1-class-1-cluster
interleaved_250_500_3_0_notCramped_rotated_TSNE_2.csv,1-class-1-cluster
ionosphere_TSNE_2.csv,no
iris_TSNE_2.csv,no
italianwines_TSNE_2.csv,no
JavierGeneratedData_3dinterleaved_3classes_TSNE_2.csv,1-class-1-cluster
JavierGeneratedData_3dinterleaved_4classes_TSNE_2.csv,1-class-1-cluster
JavierGeneratedData_3dinterleaved_5classes_TSNE_2.csv,1-class-m-cluster
ms_interleaved_120_240_3d_25_centeredClusters_TSNE_2.csv,1-class-1-cluster
ms_interleaved_120_240_3d_50_centeredClusters_TSNE_2.csv,no
ms_interleaved_400_800_3d_0_TSNE_2.csv,1-class-m-cluster
ms_interleaved_400_800_3d_50_TSNE_2.csv,no
ms_interleaved_40_80_3d_0_TSNE_2.csv,1-class-m-cluster
ms_interleaved_40_80_3d_50_TSNE_2.csv,no
ms_interleaved_60_120_3d_0_centeredClusters_TSNE_2.csv,1-class-1-cluster
ms_interleaved_60_120_3d_25_centeredClusters_TSNE_2.csv,1-class-1-cluster
ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2.csv,no
musicnetgroups_TSNE_2.csv,no
n100-d10-c3-spr0.1-out0_TSNE_2.csv,1-class-1-cluster
n100-d10-c3-spr0.2-out0_TSNE_2.csv,no
n100-d10-c5-spr0.1-out0_TSNE_2.csv,no
n100-d10-c5-spr0.2-out0_TSNE_2.csv,no
n100-d5-c3-spr0.1-out0_TSNE_2.csv,1-class-m-cluster
n100-d5-c3-spr0.2-out0_TSNE_2.csv,no
n100-d5-c5-spr0.1-out0_TSNE_2.csv,no
n100-d5-c5-spr0.2-out0_TSNE_2.csv,no
n500-d10-c3-spr0.1-out0_TSNE_2.csv,1-class-m-cluster
n500-d10-c3-spr0.2-out0_TSNE_2.csv,no
n500-d10-c5-spr0.1-out0_TSNE_2.csv,1-class-1-cluster
n500-d10-c5-spr0.2-out0_TSNE_2.csv,no
n500-d5-c3-spr0.1-out0_TSNE_2.csv,1-class-1-cluster
n500-d5-c3-spr0.2-out0_TSNE_2.csv,no
n500-d5-c5-spr0.1-out0_TSNE_2.csv,no
n500-d5-c5-spr0.2-out0_TSNE_2.csv,no
olive_TSNE_2.csv,1-class-m-cluster
swanson_TSNE_2.csv,no
tse300_TSNE_2.csv,no
twosquare-noName_TSNE_2.csv,no
UnEvenDensity-noName_TSNE_2.csv,1-class-m-cluster
wdbc_class_1_2_TSNE_2.csv,no
wine_TSNE_2.csv,no
worldmap_TSNE_2.csv,1-class-m-cluster
world_11d_TSNE_2.csv,no
world_9d_TSNE_2.csv,no
