"X","Y","Z","class"
0.95,2.14,2.33,0
1,2.13,1.76,0
0.88,2.18,1.82,0
0.83,1.97,2.15,0
0.87,1.77,1.95,0
0.85,1.91,2.11,0
1.44,1.79,1.91,0
0.84,2.09,1.97,0
1.45,2.16,1.94,0
1.39,1.86,1.81,0
1.28,1.77,2.22,0
1.17,1.76,2.05,0
1.15,2.07,2.29,0
1.16,1.89,1.71,0
1.27,2.31,2.15,0
1.12,1.88,1.93,0
1.55,1.82,1.92,0
1.5,1.83,1.73,0
1.78,1.95,1.93,0
1.26,1.79,1.86,0
1.83,1.98,2.13,0
1.43,1.98,1.98,0
1.92,1.7,2.08,0
1.85,2.33,1.98,0
2.05,2.22,1.99,0
1.48,1.93,2.18,0
1.81,2.09,2.16,0
1.66,2.23,2.26,0
1.74,2,1.75,0
1.79,2.33,2.08,0
1.68,1.73,1.96,0
1.99,2.24,1.7,0
1.6,2.08,1.91,0
1.81,2.33,1.94,0
2.22,2.1,1.98,0
2.24,2.3,2.17,0
1.96,2.17,1.69,0
2.04,2.38,1.91,0
2.26,1.94,1.85,0
2.32,2.06,1.79,0
2.16,1.62,1.87,0
2.35,1.65,2.07,0
2.11,1.99,2,0
2.34,1.66,2.07,0
2.32,1.76,1.92,0
2.53,2.11,2.33,0
2.27,1.75,1.93,0
2.54,1.7,1.92,0
2.8,2.05,2.15,0
2.31,1.99,1.64,0
2.67,1.93,2.31,0
2.31,2.32,1.96,0
2.54,2.07,2.3,0
2.8,2.02,2.19,0
2.51,1.82,2.26,0
2.8,1.71,2.2,0
2.97,2.01,1.77,0
2.6,2.07,2.11,0
3.06,2.19,2.1,0
2.51,2.2,2.13,0
2.79,2.27,2.01,0
2.68,2.11,1.94,0
2.6,1.86,2.22,0
3.05,1.7,1.94,0
2.84,2.09,2.24,0
2.74,1.8,1.98,0
3.1,2.31,2.07,0
2.85,2.01,1.86,0
2.82,2.19,1.84,0
3.04,2.12,1.68,0
2.95,2.17,1.97,0
2.9,2.08,2.23,0
2.89,2.25,1.86,0
3.11,1.87,1.94,0
3.32,1.9,1.72,0
3.42,1.67,2.01,0
3.14,2,2.32,0
3.42,2.34,1.88,0
3.17,1.9,2.21,0
3.24,2.19,2.21,0
3.23,2.04,2.03,0
3.76,2.18,2.03,0
3.47,2.01,1.6,0
3.75,2.07,2.15,0
3.57,1.74,2.25,0
3.61,2.14,1.77,0
3.8,2.11,1.99,0
3.53,2.18,1.73,0
3.78,2.04,1.93,0
3.37,1.98,2.21,0
3.51,2.07,1.93,0
3.87,2.01,2.24,0
3.95,2,1.88,0
3.89,2.12,1.81,0
3.8,1.64,2.11,0
3.93,1.93,1.91,0
4.08,1.94,2.27,0
3.82,1.73,2.19,0
3.69,2.11,2.17,0
4.21,2.27,2.07,0
1.9,1.2,2.82,1
1.69,0.86,2.82,1
1.99,1.31,2.86,1
2.13,0.87,2.85,1
1.84,1.04,3.22,1
2.2,1.31,3.02,1
1.67,1.28,3.19,1
2.05,1.27,2.83,1
2.18,1.07,3.06,1
2.19,1.2,2.88,1
1.99,1.54,3.09,1
1.93,1.41,2.86,1
1.82,1.51,3.17,1
1.94,1.41,3.09,1
1.91,1.21,2.85,1
1.99,1.2,2.77,1
2.31,1.52,3.06,1
1.99,1.75,2.95,1
2.37,1.43,2.98,1
1.97,1.19,3.06,1
2.25,1.78,2.95,1
1.87,1.37,3.13,1
2.33,1.49,3.07,1
1.96,1.71,3.09,1
1.9,1.86,2.84,1
1.84,1.68,3.09,1
2.03,1.45,3,1
1.95,2.07,2.88,1
1.97,1.99,3.15,1
2.2,1.86,3.31,1
2.08,2.16,2.91,1
1.76,2.01,3.25,1
2.18,1.79,2.73,1
1.76,2.13,3.21,1
2.2,2.34,3.03,1
1.96,1.87,3.04,1
1.76,2.01,2.73,1
2.25,1.96,3.08,1
1.77,2.33,3.25,1
1.82,2.39,3.03,1
2.02,2.45,3.17,1
1.71,2.44,2.98,1
2.04,2.14,3.33,1
1.92,2.27,3.23,1
1.79,2.34,3.05,1
2.25,2.28,3.16,1
1.81,2.17,3.14,1
1.85,2.27,2.78,1
2.13,2.63,2.74,1
1.81,2.47,3.22,1
1.79,2.47,2.83,1
1.93,2.48,3.31,1
2.11,2.32,3.22,1
2.27,2.85,3.1,1
2.18,2.87,2.97,1
2.15,2.72,2.84,1
2.18,2.9,3.02,1
1.93,2.76,3.05,1
2.05,2.67,3.14,1
1.88,2.8,3.34,1
1.91,2.43,2.92,1
2.05,2.97,3.13,1
2.26,2.96,3,1
1.91,3.12,2.77,1
1.83,3.2,3.07,1
2.11,2.89,2.66,1
1.82,2.82,2.73,1
2.2,3.3,3.01,1
2.14,3.23,3.24,1
2.27,2.96,3.26,1
1.94,2.95,2.7,1
1.76,2.98,2.73,1
2.13,3.11,2.71,1
1.68,3.23,3.18,1
2.31,3.28,2.97,1
1.89,3.58,2.84,1
1.95,3.22,2.85,1
1.8,3.34,2.95,1
1.77,3.65,3.1,1
2.24,3.41,3.14,1
2.03,3.53,2.89,1
2.3,3.4,2.84,1
1.79,3.68,3.22,1
2.31,3.49,3.02,1
2.17,3.78,3.22,1
2.15,3.76,2.9,1
1.76,3.33,3.2,1
1.87,3.82,2.89,1
2.22,3.74,3.29,1
1.82,3.4,3.16,1
2.12,3.5,2.72,1
2.14,3.88,3.04,1
1.88,3.75,2.75,1
2.09,3.94,2.89,1
1.87,3.78,3.19,1
1.9,4.04,3.27,1
2.11,3.56,2.92,1
2.21,3.71,3.13,1
2,4.03,2.91,1
2.26,3.94,3.24,1
3.14,1.9,2.91,2
3.21,2.1,3.06,2
2.75,2.28,3.13,2
2.96,1.74,2.82,2
2.87,1.93,3.28,2
3.05,2.13,2.94,2
2.75,1.94,2.77,2
2.86,1.81,2.92,2
3.18,1.79,2.77,2
3.19,2.03,2.97,2
3.1,1.99,3.21,2
2.81,1.89,3.03,2
2.85,1.81,2.72,2
2.72,2.24,3.03,2
2.77,2.22,2.94,2
3.1,2.18,2.71,2
3,2.11,3.17,2
3.2,1.96,3.09,2
3.33,2.1,3.07,2
3.2,2.04,2.91,2
2.9,1.66,3.13,2
2.96,1.69,2.81,2
3.19,1.91,3.32,2
