"x1","x2","x3","x4","x5","x6","x7","class"
0.46,0.37,0.1,0.51,0.22,0.1,0.15,14
0.35,0.27,0.09,0.23,0.1,0.05,0.07,6
0.53,0.42,0.14,0.68,0.26,0.14,0.21,8
0.44,0.37,0.13,0.52,0.22,0.11,0.16,9
0.33,0.26,0.08,0.21,0.09,0.04,0.06,6
0.43,0.3,0.1,0.35,0.14,0.08,0.12,7
0.53,0.42,0.15,0.78,0.24,0.14,0.33,19
0.55,0.43,0.13,0.77,0.29,0.15,0.26,15
0.48,0.37,0.13,0.51,0.22,0.11,0.17,8
0.55,0.44,0.15,0.89,0.31,0.15,0.32,18
0.53,0.38,0.14,0.61,0.19,0.15,0.21,13
0.43,0.35,0.11,0.41,0.17,0.08,0.14,9
0.49,0.38,0.14,0.54,0.22,0.1,0.19,10
0.54,0.41,0.15,0.68,0.27,0.17,0.21,9
0.47,0.36,0.1,0.48,0.17,0.08,0.19,9
0.5,0.4,0.13,0.66,0.26,0.13,0.24,11
0.36,0.28,0.09,0.29,0.1,0.04,0.12,6
0.44,0.34,0.1,0.45,0.19,0.09,0.13,9
0.37,0.3,0.08,0.26,0.1,0.04,0.1,6
0.45,0.32,0.1,0.38,0.17,0.08,0.12,8
0.36,0.28,0.1,0.25,0.1,0.06,0.08,10
0.38,0.28,0.1,0.23,0.08,0.05,0.09,9
0.57,0.44,0.16,0.94,0.43,0.21,0.27,11
0.55,0.42,0.14,0.76,0.32,0.21,0.2,8
0.62,0.48,0.17,1.16,0.51,0.3,0.31,9
0.56,0.44,0.14,0.93,0.38,0.19,0.3,10
0.58,0.45,0.19,1,0.39,0.27,0.29,10
0.59,0.45,0.14,0.93,0.36,0.23,0.28,11
0.61,0.48,0.18,0.94,0.39,0.22,0.3,14
0.58,0.43,0.14,0.86,0.39,0.23,0.2,10
0.58,0.47,0.17,1,0.39,0.24,0.33,9
0.68,0.56,0.17,1.64,0.61,0.28,0.46,14
0.67,0.53,0.17,1.34,0.55,0.36,0.35,17
0.68,0.55,0.18,1.8,0.82,0.39,0.46,18
0.71,0.55,0.2,1.71,0.63,0.41,0.49,12
0.47,0.36,0.11,0.48,0.23,0.12,0.13,7
0.54,0.48,0.16,1.22,0.53,0.31,0.34,15
0.45,0.36,0.11,0.52,0.24,0.12,0.15,7
0.58,0.45,0.14,0.88,0.38,0.2,0.26,10
0.36,0.29,0.09,0.33,0.13,0.09,0.09,8
0.45,0.34,0.11,0.43,0.19,0.09,0.12,8
0.55,0.43,0.14,0.85,0.36,0.2,0.27,13
0.24,0.18,0.05,0.07,0.03,0.02,0.02,4
0.21,0.15,0.06,0.04,0.03,0.02,0.01,4
0.21,0.15,0.05,0.04,0.02,0.01,0.02,3
0.39,0.3,0.1,0.2,0.09,0.05,0.08,6
0.47,0.37,0.12,0.58,0.29,0.23,0.14,8
0.46,0.38,0.12,0.46,0.18,0.11,0.15,6
0.33,0.25,0.07,0.16,0.08,0.03,0.05,5
0.53,0.43,0.16,0.84,0.35,0.21,0.25,8
0.52,0.41,0.12,0.6,0.24,0.11,0.19,7
0.4,0.32,0.1,0.3,0.13,0.06,0.1,6
