"d1","d2","d3","d4","d5","d6","d7","d8","d9","d19","d11","d12","d13","d14","d15","d16","d17","d18","d19.1","d20","d21","d22","class"
1,0,14700,1368,95,6000,129,180,11.2,5.9,138,1155,4063,1720,1453,2511,405,270,500,50,45,94,0
1,0,16200,1368,95,6000,129,180,11.2,5.9,138,1155,4063,1720,1453,2511,405,270,500,50,45,94,0
1,0,17950,1368,155,5500,230,215,8.1,6.5,153,1220,4063,1720,1453,2511,405,270,500,50,45,94,0
1,0,19450,1368,155,5500,230,215,8.1,6.5,153,1220,4063,1720,1453,2511,405,270,500,50,45,94,0
2,0,17950,1598,120,3750,320,198,9.8,4.8,126,1280,4063,1720,1453,2511,405,270,1000,50,45,247,0
2,0,19450,1598,120,3750,320,198,9.8,4.8,126,1280,4063,1720,1453,2511,405,270,1000,50,45,247,0
1,0,17590,1598,105,5600,140,185,11.3,8.2,196,1265,4223,1729,1442,2546,445,292,1300,50,60,108,0
1,0,17900,1598,105,5600,140,185,11.3,8.2,196,1265,4223,1729,1442,2546,445,292,1300,50,60,108,0
1,0,19040,1598,120,6200,146,195,10.6,8.2,194,1275,4223,1729,1442,2546,445,292,1300,50,60,108,0
1,0,19900,1598,120,6200,146,195,10.6,8.2,194,1275,4223,1729,1442,2546,445,292,1300,50,60,108,0
2,0,21140,1910,120,4000,280,193,9.6,5.8,153,1345,4223,1729,1442,2546,445,292,1300,50,60,308,0
2,0,21450,1910,120,4000,280,193,9.6,5.8,153,1345,4223,1729,1442,2546,445,292,1300,50,60,308,0
2,0,24030,1910,150,4000,305,208,8.8,5.9,157,1365,4223,1729,1442,2546,425,292,1300,50,60,308,0
1,0,18290,1598,105,5600,140,185,11.3,8.2,196,1285,4223,1729,1442,2546,425,292,1300,50,60,108,0
1,0,18600,1598,105,5600,140,185,11.3,8.2,196,1285,4223,1729,1442,2546,425,292,1300,50,60,108,0
1,0,19740,1598,120,6200,146,195,10.6,8.2,194,1295,4223,1729,1442,2546,425,292,1300,50,60,108,0
1,0,20600,1598,120,6200,146,195,10.6,8.2,194,1295,4223,1729,1442,2546,425,292,1300,50,60,108,0
2,0,21840,1910,120,4000,280,193,9.6,5.8,153,1365,4223,1729,1442,2546,425,292,1300,50,60,308,0
2,0,22150,1910,120,4000,280,193,9.6,5.8,153,1365,4223,1729,1442,2546,425,292,1300,50,60,308,0
2,0,24730,1910,150,4000,305,208,8.8,5.9,157,1385,4223,1729,1442,2546,405,292,1300,50,60,308,0
1,0,24600,1796,140,6500,175,208,10.2,7.6,179,1460,4660,1830,1417,2700,475,405,1400,80,70,121,1
1,0,30350,2198,185,6500,230,224,8.7,9.2,218,1520,4660,1830,1422,2700,475,405,1500,80,70,148,1
1,0,31500,2198,185,6500,230,224,8.7,9.1,214,1520,4660,1830,1422,2700,475,405,1500,80,70,148,1
1,0,34350,2198,185,6500,230,224,8.7,9.2,218,1520,4660,1830,1422,2700,475,405,1500,80,70,148,1
1,0,35500,2198,185,6500,230,224,8.7,9.1,214,1520,4660,1830,1422,2700,475,405,1500,80,70,148,1
1,0,35200,3195,260,6300,322,250,7.1,11,260,1615,4660,1830,1422,2700,475,405,1700,80,69,216,1
1,0,38900,3195,260,6300,322,250,7.1,11,260,1615,4660,1830,1422,2700,475,405,1700,80,69,216,1
1,0,37500,3195,260,6300,322,244,7,11.4,270,1685,4660,1830,1422,2700,475,405,1700,80,69,216,1
1,0,39600,3195,260,6300,322,244,7.2,12.1,286,1705,4660,1830,1422,2700,475,405,1700,80,69,216,1
1,0,41200,3195,260,6300,322,244,7,11.4,270,1685,4660,1830,1422,2700,475,405,1700,80,69,216,1
1,0,43300,3195,260,6300,322,244,7.2,12.1,286,1705,4660,1830,1422,2700,475,405,1700,80,69,216,1
2,0,25200,1910,120,4000,280,193,10.7,5.9,157,1555,4660,1830,1417,2700,475,405,1500,80,70,308,1
2,0,27250,1910,150,4000,320,212,9.2,5.9,157,1565,4660,1830,1417,2700,475,405,1500,80,70,308,1
2,0,30150,1910,150,4000,320,212,9.2,5.9,157,1565,4660,1830,1422,2700,475,405,1500,80,70,308,1
2,0,32250,1910,150,4000,320,209,9.5,7.1,187,1570,4660,1830,1422,2700,475,405,1500,80,70,308,1
2,0,34150,1910,150,4000,320,212,9.2,5.9,157,1565,4660,1830,1422,2700,475,405,1500,80,70,308,1
