"x1","x2","x3","x4","x5","x6","x7","x8","x9","class"
11459,962,597,9505,761,547,16,230,26,0
5298,525,299,4760,456,148,29,307,37,1
4585,449,293,4053,384,149,30,50,35,1
4049,345,159,3812,310,66,26,936,29,2
2678,144,85,2459,121,40,23,19,24,3
2580,394,252,2317,334,68,30,49,29,3
2416,357,184,2151,299,77,34,203,47,3
2377,336,134,2228,296,42,39,1293,48,3
2282,325,223,2059,287,52,28,169,13,3
2274,352,239,2097,308,71,31,414,19,3
1909,242,106,1649,208,117,25,454,37,4
1621,285,177,1389,230,73,30,127,24,4
1535,267,123,1397,212,51,34,530,33,4
1272,323,162,963,246,148,24,46,35,4
1022,192,112,906,164,37,31,19,6,5
942,305,179,590,188,171,13,14,5,5
880,90,60,757,75,56,39,14,19,5
808,108,66,716,85,32,40,19,16,5
715,186,83,626,151,44,29,330,16,5
665,136,68,588,111,24,44,49,31,5
621,186,99,545,157,25,49,63,30,5
519,83,51,480,74,15,28,5,21,5
513,166,89,427,125,41,28,93,26,5
451,139,90,277,87,120,76,20,21,5
441,112,22,395,98,22,30,366,7,5
328,123,49,245,89,45,29,72,36,5
305,64,45,266,48,12,33,6,14,5
299,136,50,203,84,61,25,80,30,5
290,45,13,247,30,11,35,1,7,5
274,106,60,224,87,23,24,40,14,5
262,112,34,222,88,23,38,207,37,5
245,67,31,4,4,239,56,26,39,5
237,50,31,208,46,7,33,0,0,5
201,58,35,153,42,18,26,6,9,5
185,82,34,136,62,31,43,67,29,5
184,78,10,143,45,36,62,161,29,5
171,99,14,136,77,24,30,148,29,5
169,105,41,27,17,136,17,58,25,5
167,98,34,106,56,50,45,108,36,5
161,62,25,143,53,5,29,25,8,5
159,73,17,125,46,20,95,103,30,5
153,37,26,131,29,11,35,10,13,5
150,47,25,94,34,29,60,7,13,5
120,78,33,52,31,60,53,39,36,5
114,43,23,95,34,10,45,7,9,5
108,64,25,67,34,31,55,13,14,5
105,58,22,71,46,7,148,24,27,5
103,56,23,72,31,21,49,7,11,5
94,37,17,3,2,89,18,52,38,5
94,52,13,64,34,19,28,60,13,5
89,29,14,75,23,5,19,0,0,5
88,65,27,36,29,43,66,10,8,5
85,39,22,52,20,25,43,24,6,5
84,49,22,47,21,32,78,10,10,5
78,51,27,54,36,14,63,18,11,5
77,27,15,34,16,32,160,4,12,5
73,32,19,58,24,8,31,0,0,5
73,26,11,52,17,11,73,9,9,5
70,47,15,48,32,15,81,21,15,5
68,43,13,57,33,4,31,49,5,5
59,41,11,34,22,18,21,8,12,5
57,10,7,49,6,5,20,0,0,5
55,27,5,2,2,51,58,25,61,5
54,31,11,37,18,12,96,9,13,5
47,29,7,23,11,21,29,30,23,5
45,27,9,25,17,14,22,3,2,5
44,30,11,18,11,15,26,2,2,5
44,20,12,21,10,17,84,4,7,5
38,29,12,8,8,28,103,14,22,5
38,18,4,1,1,36,15,23,15,5
38,27,5,24,19,7,31,6,9,5
35,24,5,12,9,19,94,27,21,5
34,21,0,24,11,9,88,29,9,5
33,26,10,16,12,12,33,21,10,5
31,25,13,25,20,3,32,31,1,5
30,19,6,18,12,8,85,4,4,5
30,25,6,10,9,15,104,10,11,5
28,13,8,15,8,7,39,0,0,5
24,22,4,9,8,13,118,4,7,5
23,14,4,14,7,6,17,0,0,5
22,18,5,12,8,8,128,4,7,5
20,4,3,0,0,20,117,20,19,5
20,9,5,15,8,2,48,0,0,5
19,14,7,8,8,9,14,0,0,5
19,18,4,7,7,8,139,6,8,5
18,12,6,2,2,15,33,2,2,5
17,15,4,1,1,15,158,13,36,5
17,13,1,9,7,4,13,5,12,5
13,12,3,1,1,12,212,5,11,5
13,8,1,2,1,11,148,2,4,5
13,12,2,3,2,9,76,6,2,5
11,4,2,7,2,2,107,2,4,5
10,8,1,3,3,6,16,4,1,5
9,9,0,4,4,4,22,5,12,5
9,8,3,0,0,9,66,0,0,5
9,9,1,3,3,5,14,1,9,5
8,6,0,4,2,2,278,2,13,5
8,7,0,1,1,6,19,0,0,5
8,8,0,2,2,5,235,3,7,5
7,6,1,0,0,7,38,0,0,5
7,6,0,1,1,5,23,3,4,5
6,6,2,1,1,4,25,5,23,5
6,6,0,1,1,4,18,3,11,5
6,6,0,0,0,6,314,3,7,5
6,4,0,0,0,6,321,3,7,5
6,5,0,1,1,4,18,2,2,5
5,1,1,0,0,5,25,0,0,5
5,5,1,0,0,5,17,0,0,5
5,5,0,0,0,5,806,4,19,5
5,5,1,0,0,5,133,3,14,5
5,5,2,1,1,3,14,2,8,5
5,5,0,1,1,3,457,1,8,5
5,5,0,0,0,5,373,3,7,5
4,3,0,2,1,2,167,3,8,5
4,2,1,0,0,1,29,4,1,5
4,4,1,0,0,4,12,0,0,5
4,3,2,0,0,4,82,0,0,5
3,3,0,0,0,3,28,0,0,5
3,3,0,0,0,3,217,1,7,5
3,3,0,1,1,2,219,1,7,5
3,3,0,1,1,1,76,0,0,5
