"Col1","Col2","Col3","class"
0,0,-4.71,0
0,1.13,-4.71,0
0,2.25,-4.71,0
0,3.38,-4.71,0
0,4.5,-4.71,0
0,5.63,-4.71,0
0,6.75,-4.71,0
0,7.88,-4.71,0
0,9,-4.71,0
0,10.13,-4.71,0
0,11.25,-4.71,0
0,12.38,-4.71,0
0,13.5,-4.71,0
0,14.63,-4.71,0
0,15.75,-4.71,0
0,16.88,-4.71,0
0,18,-4.71,0
0,19.13,-4.71,0
0,20.25,-4.71,0
0,21.38,-4.71,0
0,22.5,-4.71,0
0,23.63,-4.71,0
0,24.75,-4.71,0
0,25.88,-4.71,0
0,27,-4.71,0
0,28.13,-4.71,0
0,29.25,-4.71,0
0.68,0,-4.81,0
0.68,1.13,-4.81,0
0.68,2.25,-4.81,0
0.68,3.38,-4.81,0
0.68,4.5,-4.81,0
0.68,5.63,-4.81,0
0.68,6.75,-4.81,0
0.68,7.88,-4.81,0
0.68,9,-4.81,0
0.68,10.13,-4.81,0
0.68,11.25,-4.81,0
0.68,12.38,-4.81,0
0.68,13.5,-4.81,0
0.68,14.63,-4.81,0
0.68,15.75,-4.81,0
0.68,16.88,-4.81,0
0.68,18,-4.81,0
0.68,19.13,-4.81,0
0.68,20.25,-4.81,0
0.68,21.38,-4.81,0
0.68,22.5,-4.81,0
0.68,23.63,-4.81,0
0.68,24.75,-4.81,0
0.68,25.88,-4.81,0
0.68,27,-4.81,0
0.68,28.13,-4.81,0
0.68,29.25,-4.81,0
1.39,0,-4.8,0
1.39,1.13,-4.8,0
1.39,2.25,-4.8,0
1.39,3.38,-4.8,0
1.39,4.5,-4.8,0
1.39,5.63,-4.8,0
1.39,6.75,-4.8,0
1.39,7.88,-4.8,0
1.39,9,-4.8,0
1.39,10.13,-4.8,0
1.39,11.25,-4.8,0
1.39,12.38,-4.8,0
1.39,13.5,-4.8,0
1.39,14.63,-4.8,0
1.39,15.75,-4.8,0
1.39,16.88,-4.8,0
1.39,18,-4.8,0
1.39,19.13,-4.8,0
1.39,20.25,-4.8,0
1.39,21.38,-4.8,0
1.39,22.5,-4.8,0
1.39,23.63,-4.8,0
1.39,24.75,-4.8,0
1.39,25.88,-4.8,0
1.39,27,-4.8,0
1.39,28.13,-4.8,0
1.39,29.25,-4.8,0
2.11,0,-4.68,0
2.11,1.13,-4.68,0
2.11,2.25,-4.68,0
2.11,3.38,-4.68,0
2.11,4.5,-4.68,0
2.11,5.63,-4.68,0
2.11,6.75,-4.68,0
2.11,7.88,-4.68,0
2.11,9,-4.68,0
2.11,10.13,-4.68,0
2.11,11.25,-4.68,0
2.11,12.38,-4.68,0
2.11,13.5,-4.68,0
2.11,14.63,-4.68,0
2.11,15.75,-4.68,0
2.11,16.88,-4.68,0
2.11,18,-4.68,0
2.11,19.13,-4.68,0
2.11,20.25,-4.68,0
2.11,21.38,-4.68,0
2.11,22.5,-4.68,0
2.11,23.63,-4.68,0
2.11,24.75,-4.68,0
2.11,25.88,-4.68,0
2.11,27,-4.68,0
2.11,28.13,-4.68,0
2.11,29.25,-4.68,0
2.83,0,-4.46,0
2.83,1.13,-4.46,0
2.83,2.25,-4.46,0
2.83,3.38,-4.46,0
2.83,4.5,-4.46,0
2.83,5.63,-4.46,0
2.83,6.75,-4.46,0
2.83,7.88,-4.46,0
2.83,9,-4.46,0
2.83,10.13,-4.46,0
2.83,11.25,-4.46,0
2.83,12.38,-4.46,0
2.83,13.5,-4.46,0
2.83,14.63,-4.46,0
2.83,15.75,-4.46,0
2.83,16.88,-4.46,0
2.83,18,-4.46,0
2.83,19.13,-4.46,0
2.83,20.25,-4.46,0
2.83,21.38,-4.46,0
2.83,22.5,-4.46,0
2.83,23.63,-4.46,0
2.83,24.75,-4.46,0
2.83,25.88,-4.46,0
2.83,27,-4.46,0
2.83,28.13,-4.46,0
2.83,29.25,-4.46,0
3.52,0,-4.12,1
3.52,1.13,-4.12,1
3.52,2.25,-4.12,1
3.52,3.38,-4.12,1
3.52,4.5,-4.12,1
3.52,5.63,-4.12,1
3.52,6.75,-4.12,1
3.52,7.88,-4.12,1
3.52,9,-4.12,1
3.52,10.13,-4.12,1
3.52,11.25,-4.12,1
3.52,12.38,-4.12,1
3.52,13.5,-4.12,1
3.52,14.63,-4.12,1
3.52,15.75,-4.12,1
3.52,16.88,-4.12,1
3.52,18,-4.12,1
3.52,19.13,-4.12,1
3.52,20.25,-4.12,1
3.52,21.38,-4.12,1
3.52,22.5,-4.12,1
3.52,23.63,-4.12,1
3.52,24.75,-4.12,1
3.52,25.88,-4.12,1
3.52,27,-4.12,1
3.52,28.13,-4.12,1
3.52,29.25,-4.12,1
4.17,0,-3.68,1
4.17,1.13,-3.68,1
4.17,2.25,-3.68,1
4.17,3.38,-3.68,1
4.17,4.5,-3.68,1
4.17,5.63,-3.68,1
4.17,6.75,-3.68,1
4.17,7.88,-3.68,1
4.17,9,-3.68,1
4.17,10.13,-3.68,1
4.17,11.25,-3.68,1
4.17,12.38,-3.68,1
4.17,13.5,-3.68,1
4.17,14.63,-3.68,1
4.17,15.75,-3.68,1
4.17,16.88,-3.68,1
4.17,18,-3.68,1
4.17,19.13,-3.68,1
4.17,20.25,-3.68,1
4.17,21.38,-3.68,1
4.17,22.5,-3.68,1
4.17,23.63,-3.68,1
4.17,24.75,-3.68,1
4.17,25.88,-3.68,1
4.17,27,-3.68,1
4.17,28.13,-3.68,1
4.17,29.25,-3.68,1
4.77,0,-3.13,1
4.77,1.13,-3.13,1
4.77,2.25,-3.13,1
4.77,3.38,-3.13,1
4.77,4.5,-3.13,1
4.77,5.63,-3.13,1
4.77,6.75,-3.13,1
4.77,7.88,-3.13,1
4.77,9,-3.13,1
4.77,10.13,-3.13,1
4.77,11.25,-3.13,1
4.77,12.38,-3.13,1
4.77,13.5,-3.13,1
4.77,14.63,-3.13,1
4.77,15.75,-3.13,1
4.77,16.88,-3.13,1
4.77,18,-3.13,1
4.77,19.13,-3.13,1
4.77,20.25,-3.13,1
4.77,21.38,-3.13,1
4.77,22.5,-3.13,1
4.77,23.63,-3.13,1
4.77,24.75,-3.13,1
4.77,25.88,-3.13,1
4.77,27,-3.13,1
4.77,28.13,-3.13,1
4.77,29.25,-3.13,1
5.29,0,-2.49,1
5.29,1.13,-2.49,1
5.29,2.25,-2.49,1
5.29,3.38,-2.49,1
5.29,4.5,-2.49,1
5.29,5.63,-2.49,1
5.29,6.75,-2.49,1
5.29,7.88,-2.49,1
5.29,9,-2.49,1
5.29,10.13,-2.49,1
5.29,11.25,-2.49,1
5.29,12.38,-2.49,1
5.29,13.5,-2.49,1
5.29,14.63,-2.49,1
5.29,15.75,-2.49,1
5.29,16.88,-2.49,1
5.29,18,-2.49,1
5.29,19.13,-2.49,1
5.29,20.25,-2.49,1
5.29,21.38,-2.49,1
5.29,22.5,-2.49,1
5.29,23.63,-2.49,1
5.29,24.75,-2.49,1
5.29,25.88,-2.49,1
5.29,27,-2.49,1
5.29,28.13,-2.49,1
5.29,29.25,-2.49,1
5.72,0,-1.76,2
5.72,1.13,-1.76,2
5.72,2.25,-1.76,2
5.72,3.38,-1.76,2
5.72,4.5,-1.76,2
5.72,5.63,-1.76,2
5.72,6.75,-1.76,2
5.72,7.88,-1.76,2
5.72,9,-1.76,2
5.72,10.13,-1.76,2
5.72,11.25,-1.76,2
5.72,12.38,-1.76,2
5.72,13.5,-1.76,2
5.72,14.63,-1.76,2
5.72,15.75,-1.76,2
5.72,16.88,-1.76,2
5.72,18,-1.76,2
5.72,19.13,-1.76,2
5.72,20.25,-1.76,2
