Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,predicted,predicted_class,Age_shap,Workclass_shap,Education-Num_shap,Marital Status_shap,Occupation_shap,Relationship_shap,Race_shap,Sex_shap,Capital Gain_shap,Capital Loss_shap,Hours per week_shap,Country_shap
39.0,4,10.0,0,Other-service,Unmarried,Black,Male,0.0,625.0,40.0,39,0.03415876,False,0.1659826,0.055554427,-0.19783106,-0.1929613,0.42805064,-1.6341842,0.018529227,-0.2629041,-0.18959115,-0.18225506,-0.20924601,0.0015069265
48.0,1,13.0,0,Other-service,Unmarried,Black,Female,0.0,0.0,58.0,39,0.7062642,True,0.7012879,0.37719294,0.7703208,-0.072738536,0.5630148,-1.0403274,0.022133024,0.19437307,-0.1495134,-0.05176424,0.6953145,0.010647105
22.0,4,10.0,2,Farming-fishing,Husband,Black,Female,0.0,0.0,35.0,39,0.014557754,False,-2.4324934,-0.020073628,-0.15969492,0.094909176,-0.5017681,0.6533085,0.0028688705,0.03126787,-0.2505014,-0.10141051,-0.3785774,-0.010176901
23.0,7,8.0,4,Other-service,Not-in-family,Black,Female,0.0,0.0,40.0,39,0.011579993,False,-1.7188317,0.23728563,-0.33099127,-0.2794239,0.26083404,-0.9838162,-0.017182663,0.106021345,-0.19879663,-0.06702534,-0.3074607,-0.004811844
50.0,6,13.0,2,Armed-Forces,Husband,Black,Female,0.0,0.0,8.0,39,0.31540874,False,0.30453375,-0.15455675,0.62131363,0.06386537,0.17566617,0.6302122,0.016774349,0.049298305,-0.23748699,-0.113321275,-1.0010371,0.012414415
58.0,2,13.0,0,Tech-support,Not-in-family,Black,Male,0.0,0.0,50.0,39,0.15296385,False,0.27445397,-0.13566044,0.61778146,-0.10348243,0.06010898,-1.2165378,-0.00055997894,-0.3507692,-0.16694191,-0.05016032,0.49617726,0.0066769714
22.0,4,9.0,2,Farming-fishing,Own-child,Black,Female,0.0,0.0,50.0,39,0.01684864,False,-1.7470562,-0.021224517,-0.34349936,0.2983254,-0.47703314,-1.1042933,0.0020658455,0.047374245,-0.19273095,-0.06637767,0.6998576,-0.019264992
44.0,7,9.0,2,Protective-serv,Husband,Black,Female,0.0,0.0,40.0,39,0.3781459,False,0.33443725,-0.25122687,-0.40746912,0.08107761,0.2765431,0.8164197,0.016404377,0.055504456,-0.19314675,-0.08060766,-0.012009282,0.009279213
19.0,2,10.0,4,Armed-Forces,Own-child,Black,Male,0.0,0.0,16.0,39,0.00063391484,False,-2.669236,-0.03705676,-0.11392195,-0.44498146,0.13561083,-1.524626,0.002714766,-0.19790262,-0.20594573,-0.074429385,-1.0723264,-0.018219
46.0,4,14.0,2,Tech-support,Wife,Black,Male,7688.0,0.0,35.0,39,0.9967049,True,0.40246347,0.012442384,0.5903418,0.12773886,0.21947177,0.924752,0.016757332,-0.15516122,4.8466,-0.042749397,-0.101883486,0.013860041
33.0,4,14.0,2,Tech-support,Husband,Black,Female,0.0,0.0,37.0,39,0.65874916,True,-0.21835324,0.037641514,1.0375867,0.0774283,0.32736406,0.8963288,0.024162304,0.05641989,-0.19492786,-0.096808515,-0.17397505,0.027488243
33.0,2,9.0,2,Exec-managerial,Wife,Black,Male,0.0,0.0,60.0,39,0.30377916,False,-0.16928984,-0.05168656,-0.442547,0.10133067,-0.09482036,1.1384964,0.016437262,-0.18115643,-0.19049585,-0.07267368,0.2456178,0.014051802
48.0,1,13.0,0,Other-service,Not-in-family,Black,Female,0.0,0.0,45.0,39,0.65283,True,0.7076749,0.3444894,0.8165243,-0.07489371,0.5412201,-1.082701,0.024854602,0.18777017,-0.15393491,-0.04779707,0.5032255,0.007703319
49.0,4,13.0,4,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,25.0,39,0.03355451,False,0.53128,-0.008143829,0.6343876,-0.18977483,-0.75979537,-1.233606,0.007368183,0.15297307,-0.20136996,-0.0710218,-1.0891442,0.009027518
43.0,4,6.0,2,Exec-managerial,Husband,Black,Female,0.0,0.0,40.0,39,0.11655802,False,0.23505038,0.007928474,-1.2559664,0.08551222,-0.2784109,0.63476783,0.020048846,0.049531568,-0.21498229,-0.079369634,-0.10511916,0.018202323
18.0,4,10.0,4,Priv-house-serv,Own-child,Black,Female,2176.0,0.0,20.0,39,0.00055665657,False,-2.6504982,-0.055640575,-0.115101494,-0.4214872,0.4366064,-1.461624,0.005436152,0.07274523,-1.0925703,-0.07527106,-0.9792864,-0.013675291
