DatasetName,ClusterCorrelation,Shape
clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0.csv,['separated'],['cluster']
clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1.csv,['separated'],"['cluster','lip_cluster']"
clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2.csv,['separated'],"['cluster','three_order']"
clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0.csv,['intersecting'],['three_order']
clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber1.csv,['separated'],['lip_cluster']
clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber2.csv,['separated'],['lip_cluster']
clusternumber2_datanumber100_testnumbercategorysmall_repeatnumber0.csv,['separated'],['lip_cluster']
clusternumber2_datanumber100_testnumbercategorysmall_repeatnumber1.csv,['separated'],"['cluster','lip_cluster']"
clusternumber2_datanumber100_testnumbercategorysmall_repeatnumber2.csv,['separated'],['lip_cluster']
clusternumber2_datanumber200_testnumbercategorylarge_repeatnumber0.csv,['separated'],"['three_order','cluster']"
clusternumber2_datanumber200_testnumbercategorylarge_repeatnumber1.csv,['intersecting'],"['linear','three_order']"
clusternumber2_datanumber200_testnumbercategorylarge_repeatnumber2.csv,['touching'],"['cluster','three_order']"
clusternumber2_datanumber200_testnumbercategorymedium_repeatnumber0.csv,['separated'],['cluster']
clusternumber2_datanumber200_testnumbercategorymedium_repeatnumber1.csv,['intersecting'],"['cluster','three_order']"
clusternumber2_datanumber200_testnumbercategorymedium_repeatnumber2.csv,['touching'],"['linear','three_order']"
clusternumber2_datanumber200_testnumbercategorysmall_repeatnumber0.csv,['separated'],"['cluster','three_order']"
clusternumber2_datanumber200_testnumbercategorysmall_repeatnumber1.csv,['separated'],"['cluster','linear']"
clusternumber2_datanumber200_testnumbercategorysmall_repeatnumber2.csv,['separated'],"['linear','cluster']"
clusternumber2_datanumber500_testnumbercategorylarge_repeatnumber0.csv,['separated'],"['linear','cluster']"
clusternumber2_datanumber500_testnumbercategorylarge_repeatnumber1.csv,['separated'],"['three_order','cluster']"
clusternumber2_datanumber500_testnumbercategorylarge_repeatnumber2.csv,['separated'],"['lip_cluster','cluster']"
clusternumber2_datanumber500_testnumbercategorymedium_repeatnumber0.csv,['separated'],"['three_order','cluster']"
clusternumber2_datanumber500_testnumbercategorymedium_repeatnumber1.csv,['separated'],"['cluster','lip_cluster']"
clusternumber2_datanumber500_testnumbercategorymedium_repeatnumber2.csv,['separated'],['cluster']
clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber0.csv,['separated'],"['linear','three_order']"
clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber1.csv,['separated'],"['linear','lip_cluster']"
clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber2.csv,['separated'],"['cluster','lip_cluster']"
clusternumber3_datanumber100_testnumbercategorylarge_repeatnumber0.csv,['separated'],"['lip_cluster','cluster']"
clusternumber3_datanumber100_testnumbercategorylarge_repeatnumber1.csv,['separated'],['cluster']
clusternumber3_datanumber100_testnumbercategorylarge_repeatnumber2.csv,"['separated', 'touching']",['cluster']
clusternumber3_datanumber100_testnumbercategorymedium_repeatnumber0.csv,['separated'],"['three_order','cluster']"
clusternumber3_datanumber100_testnumbercategorymedium_repeatnumber1.csv,"['separated','touching']",['cluster']
clusternumber3_datanumber100_testnumbercategorymedium_repeatnumber2.csv,"['separated','touching']","['lip_cluster','cluster']"
clusternumber3_datanumber100_testnumbercategorysmall_repeatnumber0.csv,['separated'],"['cluster','linear']"
clusternumber3_datanumber100_testnumbercategorysmall_repeatnumber1.csv,"['intersecting', 'touching']","['three_order','cluster']"
clusternumber3_datanumber100_testnumbercategorysmall_repeatnumber2.csv,"['intersecting', 'separated']","['cluster','linear']"
clusternumber3_datanumber200_testnumbercategorylarge_repeatnumber0.csv,['separated'],"['cluster','three_order']"
clusternumber3_datanumber200_testnumbercategorylarge_repeatnumber1.csv,['separated'],"['lip_cluster','three_order']"
clusternumber3_datanumber200_testnumbercategorylarge_repeatnumber2.csv,"['intersecting', 'separated']","['cluster','lip_cluster']"
clusternumber3_datanumber200_testnumbercategorymedium_repeatnumber0.csv,['separated'],"['lip_cluster','three_order','cluster']"
clusternumber3_datanumber200_testnumbercategorymedium_repeatnumber1.csv,['separated'],"['three_order','cluster']"
clusternumber3_datanumber200_testnumbercategorymedium_repeatnumber2.csv,['separated'],"['lip_cluster','cluster']"
clusternumber3_datanumber200_testnumbercategorysmall_repeatnumber0.csv,['separated'],"['lip_cluster','cluster']"
clusternumber3_datanumber200_testnumbercategorysmall_repeatnumber1.csv,['separated'],['cluster']
clusternumber3_datanumber200_testnumbercategorysmall_repeatnumber2.csv,"['separated', 'touching']","['cluster','lip_cluster']"
clusternumber3_datanumber500_testnumbercategorylarge_repeatnumber0.csv,['separated'],"['lip_cluster','cluster']"
clusternumber3_datanumber500_testnumbercategorylarge_repeatnumber1.csv,['separated'],['cluster']
clusternumber3_datanumber500_testnumbercategorylarge_repeatnumber2.csv,"['intersecting', 'separated']","['lip_cluster','linear','cluster']"
clusternumber3_datanumber500_testnumbercategorymedium_repeatnumber0.csv,"['intersecting', 'separated']","['cluster','lip_cluster']"
clusternumber3_datanumber500_testnumbercategorymedium_repeatnumber1.csv,['separated'],['cluster']
clusternumber3_datanumber500_testnumbercategorymedium_repeatnumber2.csv,"['separated', 'touching']","['linear','cluster']"
clusternumber3_datanumber500_testnumbercategorysmall_repeatnumber0.csv,['separated'],"['lip_cluster','cluster']"
clusternumber3_datanumber500_testnumbercategorysmall_repeatnumber1.csv,['intersecting'],"['linear','lip_cluster','cluster']"
clusternumber3_datanumber500_testnumbercategorysmall_repeatnumber2.csv,"['intersecting', 'separated']","['cluster','three_order','linear']"
clusternumber5_datanumber100_testnumbercategorylarge_repeatnumber0.csv,['separated'],"['lip_cluster','three_order','cluster']"
clusternumber5_datanumber100_testnumbercategorylarge_repeatnumber1.csv,"['intersecting', 'separated','touching']","['linear','cluster','three_order']"
clusternumber5_datanumber100_testnumbercategorylarge_repeatnumber2.csv,"['intersecting', 'separated','touching']","['linear','cluster','three_order','lip_cluster']"
clusternumber5_datanumber100_testnumbercategorymedium_repeatnumber0.csv,"[ 'separated','touching']","['cluster','lip_cluster']"
clusternumber5_datanumber100_testnumbercategorymedium_repeatnumber1.csv,"['intersecting', 'separated']","['cluster','lip_cluster']"
clusternumber5_datanumber100_testnumbercategorymedium_repeatnumber2.csv,"['intersecting', 'separated']","['three_order','lip_cluster','cluster']"
clusternumber5_datanumber100_testnumbercategorysmall_repeatnumber0.csv,"[ 'separated','touching']","['cluster','lip_cluster','three_order']"
clusternumber5_datanumber100_testnumbercategorysmall_repeatnumber1.csv,"['intersecting', 'separated','touching']","['three_order','lip_cluster','cluster']"
clusternumber5_datanumber100_testnumbercategorysmall_repeatnumber2.csv,"['intersecting', 'separated']","['lip_cluster','cluster','linear']"
clusternumber5_datanumber200_testnumbercategorylarge_repeatnumber0.csv,"[ 'separated','touching']","['linear','cluster','lip_cluster']"
clusternumber5_datanumber200_testnumbercategorylarge_repeatnumber1.csv,"['intersecting', 'separated']","['cluster','linear']"
clusternumber5_datanumber200_testnumbercategorylarge_repeatnumber2.csv,"['intersecting', 'separated','touching']","['lip_cluster','three_order','linear']"
clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber0.csv,"['intersecting', 'separated']","['cluster','three_order']"
clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.csv,"['intersecting', 'separated']","['lip_cluster','cluster']"
clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber2.csv,"['intersecting', 'separated']","['lip_cluster','linear','cluster']"
clusternumber5_datanumber200_testnumbercategorysmall_repeatnumber0.csv,"['intersecting', 'separated']","['cluster','linear']"
clusternumber5_datanumber200_testnumbercategorysmall_repeatnumber1.csv,"['intersecting', 'separated']","['cluster','linear','three_order']"
clusternumber5_datanumber200_testnumbercategorysmall_repeatnumber2.csv,['separated'],"['lip_cluster','cluster','three_order']"
clusternumber5_datanumber500_testnumbercategorylarge_repeatnumber0.csv,"['intersecting', 'separated']","['cluster','linear']"
clusternumber5_datanumber500_testnumbercategorylarge_repeatnumber1.csv,"[ 'separated','touching']","['lip_cluster','cluster','three_order']"
clusternumber5_datanumber500_testnumbercategorylarge_repeatnumber2.csv,['separated'],"['cluster','three_order']"
clusternumber5_datanumber500_testnumbercategorymedium_repeatnumber0.csv,"['intersecting', 'separated','touching']","['cluster','linear']"
clusternumber5_datanumber500_testnumbercategorymedium_repeatnumber1.csv,['separated'],"['cluster','lip_cluster']"
clusternumber5_datanumber500_testnumbercategorymedium_repeatnumber2.csv,"['intersecting', 'separated']","['cluster','lip_cluster']"
