Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Shape,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes,well-separated
figure_ascendingmarkersize20_clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber1,clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber1,1000,2,['linear' 'lip_cluster'],20,0.6280022332978288,0.5915858745574951,0.6460405244687574,0.7132794857025146,0.5199614635893544,0.5992233753204346,0.6533520073779215,0.6950969696044922,0.641077142163743,0.4649708271026611,0.5863118715713813,0.6984255313873291,0.689325802695318,0.5971789360046387,0.7282128209234053,0.4419140815734863,0.9987866577432524,0.5645842552185059,0.5503512157843133,5.08026123046875,0.6036190046280816,0.6250894069671631,0.5566638859184876,0.6076674461364746,0.386,0.3904619216918945,6803.0,0.2577443122863769,0.024,0.3909456729888916,0.022722890713657,0.102696418762207,1.6581190811388538,0.0072939395904541,-,15.0,6,1,"[{'category': 'group_1', 'number': 1}]",1-class-1-cluster
figure_category_basedmarkersize20_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],20,0.7014697362369697,0.4736323356628418,0.6358887501682027,0.5055608749389648,0.9521270904552384,0.5933995246887207,0.5616155494159873,0.4763870239257812,0.6320573047117298,0.5660824775695801,0.7808299471544412,0.5766801834106445,0.9706403799946308,0.7132503986358643,0.6160189497467776,0.57379150390625,0.5464661637332521,0.480705976486206,0.8432092382322252,1.228454828262329,0.8460860973573591,0.4863889217376709,0.9195356029880848,0.6040308475494385,1.0,0.3414416313171386,450,0.2058970928192138,0.0,0.3172900676727295,0.025245054326123,0.030013084411621,11.543267807052665,0.0016412734985351,0.01807299548578336,2.7254676818847656,0,0,[],1-class-1-cluster
figure_category_basedmarkersize50_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],50,0.5966278809585188,0.6212232112884521,0.5275959120306265,0.5137073993682861,0.9043267737765962,0.6511616706848145,0.4514366292238059,0.5086650848388672,0.5216818595150128,0.518991231918335,0.6855435845678517,0.5002145767211914,0.923975187853746,0.6357157230377197,0.5210541135023814,0.4168434143066406,0.3741176183109199,0.637253999710083,0.7119712865078837,1.2602207660675049,0.7122274943164444,0.515425443649292,0.8206750964436373,0.5194590091705322,1.0,0.3579387664794922,1809,0.2241740226745605,0.0,0.335477352142334,0.025245054326123,0.0297243595123291,11.543267807052665,0.0019843578338623,0.025896662647893025,2.854553461074829,0,0,[],1-class-1-cluster
figure_ascendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.890293436217488,0.5341696739196777,0.8863872292532976,0.637242317199707,0.8496399548674116,0.6658811569213867,0.9195456389215853,0.4220457077026367,0.9107224964625744,0.6543145179748535,0.9097111565507132,0.4193696975708008,0.9829706070807512,0.6509718894958496,0.9094248787855044,0.5561039447784424,0.9359127268507996,0.5442688465118408,0.8814885942000108,1.1349546909332275,0.8591210269782109,0.5625913143157959,0.9417655416667916,0.6768455505371094,1.0,0.2370133399963379,95,0.2399466037750244,0.0,0.3691153526306152,0.025245054326123,0.0320055484771728,11.543267807052665,0.0019855499267578,0.012214066361594207,1.9248504638671875,0,0,[],1-class-1-cluster
figure_ascendingmarkersize20_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],20,0.857901265228495,0.5766255855560303,0.8460878540612949,0.5643026828765869,0.7928641674519903,0.6899538040161133,0.8917219007265081,0.5898518562316895,0.8754808145707268,0.4372777938842773,0.8692439330816086,0.5809552669525146,0.9705433381161044,0.5474910736083984,0.8745247182309335,0.571491003036499,0.9224606148946998,0.5858521461486816,0.8452127624235584,1.2937421798706057,0.8196652376070657,0.4461398124694824,0.9221193884485926,0.5815873146057129,1.0,0.4341323375701904,450,0.2894248962402344,0.0,0.2983977794647217,0.025245054326123,0.0309879779815673,11.543267807052665,0.0019588470458984,0.01807299548578336,2.147798538208008,0,0,[],1-class-1-cluster
figure_ascendingmarkersize50_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],50,0.7732489557889254,0.4839532375335693,0.7707710665078038,0.6384880542755127,0.7023076407224322,0.7613575458526611,0.8271751941295842,0.6233248710632324,0.8072809168065185,0.5192747116088867,0.7952045266063783,0.6715695858001709,0.9178069856857748,0.6400821208953857,0.7826092130692884,0.4949634075164795,0.8627270459085694,0.6352651119232178,0.772222557811604,1.4380064010620115,0.75176764789436,0.6378209590911865,0.8548112506524819,0.6705622673034668,1.0,0.271799087524414,1809,0.4449837207794189,0.0,0.2842452526092529,0.025245054326123,0.0298974514007568,11.543267807052665,0.0019807815551757,0.025896662647893025,2.1902501583099365,0,0,[],1-class-1-cluster
figure_descendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.7528704226038578,0.5215420722961426,0.6944844565390751,0.6810963153839111,0.9902229773933764,0.7711284160614014,0.6201822016379435,0.484041690826416,0.6905553902262259,0.6576356887817383,0.8314989041712564,0.6359167098999023,0.9830078319689622,0.4570019245147705,0.6737929063079874,0.6253170967102051,0.6141521330068069,0.4661200046539306,0.8867651117661144,1.3131961822509766,0.8887417250535581,0.6492404937744141,0.9467150082436604,0.4762775897979736,1.0,0.4682400226593017,95,0.2855119705200195,0.0,0.2708222866058349,0.025245054326123,0.0308458805084228,11.543267807052665,0.0019919872283935,0.012214066361594207,1.93681001663208,0,0,[],1-class-1-cluster
figure_descendingmarkersize20_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],20,0.7008538502400321,0.4858248233795166,0.6358120575638162,0.673367977142334,0.9525615501178796,0.791412353515625,0.5612020396688142,0.4761438369750976,0.6319459667641878,0.6375126838684082,0.78076730402345,0.4799826145172119,0.9701171676061984,0.6472551822662354,0.6157030360311491,0.4687156677246094,0.5462887601002341,0.6433660984039307,0.843691570425292,1.3538539409637451,0.847056161261035,0.4808011054992676,0.9187403126770772,0.6619911193847656,1.0,0.2961821556091308,450,0.2862586975097656,0.0,0.2962384223937988,0.025245054326123,0.0310251712799072,11.543267807052665,0.0020210742950439,0.01807299548578336,2.001897096633911,0,0,[],1-class-1-cluster
figure_descendingmarkersize50_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],50,0.5948847853339376,0.6923201084136963,0.527383673932529,0.5115976333618164,0.9052819113982904,0.8000364303588867,0.4504055756065996,0.4804580211639404,0.5213350701103634,0.4519927501678467,0.6854325189157175,0.6625735759735107,0.923964202069009,0.4693276882171631,0.5198976905270403,0.6556856632232666,0.3734335447552915,0.4927926063537597,0.7119653274946696,1.3636374473571775,0.7132807790667206,0.5096430778503418,0.8184578059807599,0.6712393760681152,1.0,0.3068387508392334,1809,0.3123221397399902,0.0,0.3141176700592041,0.025245054326123,0.031733751296997,11.543267807052665,0.0021131038665771,0.02589666264789302,2.376422882080078,0,0,[],1-class-1-cluster
figure_category_basedmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],10,0.9783086181384992,0.3186335563659668,0.9768110420892251,0.7698369026184082,0.965210254158347,0.8085756301879883,0.9814680917226056,0.7390305995941162,0.976567906961463,0.5066318511962891,0.9678020178952896,0.7634778022766113,0.9956752606044676,0.5133781433105469,0.9763103276806284,0.7448806762695312,0.992670267699926,0.5390772819519043,0.9779467307779316,1.2022404670715332,0.9813475489646438,0.7751781940460205,0.9974172410279868,0.5547294616699219,1.0,0.3325691223144531,96,0.349797248840332,0.0,0.3435742855072021,0.0244019594857336,0.0255212783813476,13.268536075821167,0.0019834041595458,0.012779537664351276,2.8391356468200684,0,0,[],1-class-1-cluster
