Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Shape,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_category_basedmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],60,0.6957322909695567,1.1655023097991943,0.61047160143272,1.3032286167144775,0.8786629191525923,1.916757345199585,0.6403689209997641,1.359605312347412,0.995,0.6405787467956543,2897,0.7629907131195068,0.0,0.6464600563049316,0.02952637097773769,0.10506391525268555,12.0623055234738,0.008002281188964844,0.031126262562433147,7.545587539672852,0,0,[]
figure_category_basedmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],60,0.5281015192841958,0.4537525177001953,0.4569197444891594,0.5455291271209717,0.86026410967095,0.6641337871551514,0.3856167666196326,0.4645462036132812,0.985,0.2039401531219482,3022,0.2839465141296386,0.0,0.2806661128997803,0.0305465157346088,0.0299992561340332,10.493879824593336,0.002004861831665,0.031923274853732274,3.41484808921814,2,0,[]
figure_category_basedmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],110,0.3848294596538832,0.5661323070526123,0.3158509918307078,0.5600852966308594,0.7799739238021552,0.593559980392456,0.2565734964487635,0.5801239013671875,0.95,0.3053646087646484,8403,0.1960513591766357,0.0,0.2934887409210205,0.0305465157346088,0.0299994945526123,10.493879824593336,0.0019962787628173,0.04464447233259006,3.5946950912475586,2,0,[]
figure_category_basedmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],160,0.3204782920982271,0.5794658660888672,0.2561165487436865,0.4993896484375,0.7394256447368146,0.7061131000518799,0.2048929374011434,0.5067501068115234,0.92,0.2088851928710937,13785,0.3119573593139648,0.0,0.1958539485931396,0.0305465157346088,0.0310621261596679,10.493879824593336,0.0020179748535156,0.053595652413956675,3.805936098098755,3,0,[]
figure_ascendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.8931577906429361,0.4937467575073242,0.8797265518603431,0.5851576328277588,0.8351636320671736,0.59051513671875,0.9230916767862164,0.5819797515869141,1.0,0.1988289356231689,114,0.3091065883636474,0.0,0.2019455432891845,0.0305465157346088,0.0297305583953857,10.493879824593336,0.0020003318786621,0.013379839330220395,1.9499704837799072,0,0,[]
figure_ascendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],60,0.7194646578732189,0.510465145111084,0.7153475487602255,0.5366077423095703,0.6304927282825062,0.6426265239715576,0.7833191596950331,0.4953117370605469,0.985,0.3330037593841553,3022,0.2225148677825927,0.0,0.3289551734924316,0.0305465157346088,0.0307528972625732,10.493879824593336,0.0020246505737304,0.031923274853732274,2.0466763973236084,0,0,[]
figure_ascendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],110,0.5961335813748224,0.5381107330322266,0.594233744639582,0.5274515151977539,0.4840784911771538,0.6359233856201172,0.6795624518767538,0.5183641910552979,0.95,0.3524489402770996,8403,0.2274680137634277,0.0,0.3411052227020263,0.0305465157346088,0.029407262802124,10.493879824593336,0.0029826164245605,0.044644472332590036,2.2633559703826904,0,0,[]
figure_ascendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],160,0.5335147211505278,0.5421111583709717,0.5329109392326155,0.5531876087188721,0.4098172425003102,0.6622323989868164,0.6239212708119278,0.5665512084960938,0.92,0.2378556728363037,13785,0.3633062839508056,0.0,0.2151851654052734,0.0305465157346088,0.0301787853240966,10.493879824593336,0.0020053386688232,0.053595652413956675,2.6711525917053223,0,0,[]
figure_descendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.7393603437408283,0.5867304801940918,0.6808496925317792,0.6719627380371094,0.9812223019856524,0.5270438194274902,0.6049793209728735,0.6606082916259766,1.0,0.2386014461517334,114,0.2299492359161377,0.0,0.3626823425292969,0.0305465157346088,0.0299985408782959,10.493879824593336,0.0020129680633544,0.013379839330220395,1.881314754486084,0,0,[]
figure_descendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],60,0.5254312645540207,0.5640079975128174,0.4565755456959482,0.5778093338012695,0.8619615407544134,0.5561199188232422,0.3840739539166483,0.6857297420501709,0.985,0.2476422786712646,3022,0.2405929565429687,0.0,0.532844066619873,0.0305465157346088,0.0638511180877685,10.493879824593336,0.003000259399414,0.03192327485373227,2.3402373790740967,0,0,[]
